filename,category,fold
Passengers/7__10_07_13_marDeCangas_Espera_seg6.wav,Passengers,1
Passengers/55__23_07_13_H3_PirataSalvora_SALE2_seg13.wav,Passengers,3
Passengers/32__19_07_13_Arroios_llega_seg29.wav,Passengers,4
Passengers/63__23_07_13_H3_MarDeOnza_LLEGA_seg32.wav,Passengers,2
Passengers/14__10_07_13_piraCies_Espera_seg1.wav,Passengers,1
Passengers/67__23_07_13_H3_PirataCiesSale_seg8.wav,Passengers,3
Passengers/59__23_07_13_H2_MarDeMouro_seg21.wav,Passengers,1
Passengers/53__23_07_13_H3_PirataSalvora_Llega1_seg29.wav,Passengers,4
Passengers/13__10_07_13_piraCies_Entra_seg19.wav,Passengers,4
Passengers/6__10_07_13_marDeCangas_Entra_seg58.wav,Passengers,3
RORO/18__18_07_13_AutoPrideEntra_seg31.wav,RORO,1
RORO/18__18_07_13_AutoPrideEntra_seg8.wav,RORO,3
RORO/19__18_07_13_AutoprideMarchaAtras_seg54.wav,RORO,4
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg44.wav,RORO,4
RORO/78__23_07_13_H3_vikingChance_seg32.wav,RORO,2
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg32.wav,RORO,2
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg21.wav,RORO,1
RORO/19__18_07_13_AutoprideMarchaAtras_seg52.wav,RORO,2
RORO/18__18_07_13_AutoPrideEntra_seg12.wav,RORO,2
RORO/19__18_07_13_AutoprideMarchaAtras_seg6.wav,RORO,1
Motorboat/77__23_07_13_H3_Planeadora_seg3.wav,Motorboat,3
Motorboat/72__23_07_13_H3_lancha2_seg3.wav,Motorboat,3
Motorboat/72__23_07_13_H3_lancha2_seg23.wav,Motorboat,3
Motorboat/50__23_07_13_H3_lancha1_seg8.wav,Motorboat,3
Motorboat/70__23_07_13_H2_yatePeq_seg1.wav,Motorboat,1
Motorboat/39__19_07_13_lanchaMotora_Entra_seg9.wav,Motorboat,4
Motorboat/79__23_07_13_H3_zodiac_seg12.wav,Motorboat,2
Motorboat/50__23_07_13_H3_lancha1_seg3.wav,Motorboat,3
Motorboat/70__23_07_13_H2_yatePeq_seg8.wav,Motorboat,3
Motorboat/77__23_07_13_H3_Planeadora_seg16.wav,Motorboat,1
